,Title_Desc
31,"Open Their Eyes : Before you go...I've taken advantage of my ""alone time"" with Impsy here to learn some interesting facts about imps. Specifically, he ended up telling me the one thing that all imps fear most. Something they're absolutely terrified of.I thought that sounded useful as well as interesting, so I've done some basic conjuring. This prism will project an image of... well, of what Impsy described.Shadowlurk Ridge is still swarming with imps. Why don't you go test their reaction for me?"
32,"The Eye of the Storm : Greetings, hero of Azeroth.We of the Earthen Ring know you by name, <name>.Your exploits and accomplishments are many. Azeroth already stands in your debt, and yet again she is in need of her heroes.I am but a messenger. A powerful presence seeks audience with you.Peer into the Waters of Farseeing and behold the dilemma of our world."
33,"All Aboard! : You hear all of that, <name>? There are Alliance that need killing and I need to round up a veteran crew.You're coming with me!We won't be returning until our assignment's complete, so round up your things and make ready.I'll be aboard a newly commissioned gunship over Bladefist Bay.Don't keep me waiting!"
34,"Corrosion Prevention : Just look at this area! It's swarming with oozes. If I don't find some way to keep them under control, they'll corrode the wreckage and the zeppelin's cargo!I can't go back empty-handed, <class>! Help me dissolve these oozes before they've digested everything!This device, when powered, will concentrate energy on the slimes, causing them to explode. The zeppelin's fragmented power core should power the device. The one near the main crash works all the time, but the others flicker on and off."
35,"A Legendary Engagement : I expected that I would find you here, <class>. But then, we of the bronze flight have somewhat of an advantage when it comes to such things.<Coridormi smiles.>For reasons unknown to me, my master seeks audience with you.I would counsel you not to take this invitation lightly, <name>. Anachronos seldom has cause to interact with mortals. Wisdom would dictate that you seek him out in the Caverns of Time at once.Speak to me when you are ready and I shall personally deliver you."
36,"Due Reward : You have served me well these past few minutes we've spent together - minutes I shall not soon forget.I believe a reward befitting your unwavering loyalty is in order. You will have the distinct honor of placing Twinkles' favorite toy by his grave in honor of his memory.Please, please - save your thanks for Twinkles; it is not every day that we may honor a horse made of STARS."
37,"Aessina's Miracle : <The finger-like branches of one of Nordu's burning limbs part, revealing an untouched, glimmering seed.>This is the Heart of the Forest. The seed of life.Take this to your Arch Druid at Aessina's Grove - Hamuul Runetotem will know how to invoke its power. I promise you, the wilderness spirit will be silent no longer. New life will bloom from the ashes of old.Thank you, <race>. My time is done."
38,"Weapons of Mass Dysfunction : <Glibbs mops sweat from his brow with a greasy handkerchief.>Saurfang isn't happy with our work? This is very bad. My boys need to step it up.Maybe you can help set an example. A set of Hellscream Demolishers just rolled off the blocks and are ready for inspection. Give them a thorough going-over, and if you find any problems, give the Chief Engineer a good thrashing. Remind them that the Horde is depending upon them!"
39,Learn to Ride in Darnassus : This pamphlet advertising riding training and mount purchases was sent from Jartsam.Jartsam can be found at the Cenarion Enclave in Darnassus.
40,"While You're Here : The Maraudine have raided the Gelkis camps for many years, stealing anything they could get their hands on.One of their favorite torments is to take these relics of power which the Gelkis hold sacred, and bring them here to be defiled.The Gelkis clan would certainly be grateful if you were to find and destroy these defiled artifacts."
41,"Your Time Has Come : <A pleasant image fills your mind's eye as a calm voice echoes through your being.>Young <class>, be still and hear my words.I am called to collect you, to deliver you, to one whose eye none can escape.Find me in Stormwind, mortal, for your time has come."
42,"Touch the Untouchable : I've added a drop of my very own essence to the ooze. Look for a glowing sigil to the west, at the edge of Shadowlurk Ridge. Stand on it, concentrate, and pour this stuff all over yourself. It should be enough to shift you into the nether and let you see what's REALLY there.You won't be alone... the satyr's treasure is being guarded by the biggest voidstalker they could summon. Defeat him, and the treasure is yours.And come back in one piece, or this crazy broad's gonna fry me!"
43,"Druid of the Claw : After examining this charm, <name>, I see now what must be done. Please take it, and do as I ask.You are to approach the door to the nearby chamber. Inside, you will find my soulless body... Although I regret what I am about to tell you, I see no other way to free myself from the control of the Gnarlpine.In order for me to escape them, you must kill my physical form.  Once that is done, use the voodoo charm on my fallen body. After you have completed this task, please return to me."
44,"Find OOX-17/TN! : You have uncovered some sort of strange, egg-shaped device made from metal.  Fiddling with one of its knobs springs the egg to life, as it opens up into some sort of gnomish robotic contraption!  A voice from inside the robotic egg crackles to life.""The name's Oglethorpe, and my homing robot has gone missing!  I will reward you for its recovery!  Please take this beacon to the robot.  Excellent, I now have computed the coordinates for you!  It crashed near the Gaping Chasm in Tanaris!"""
45,"Dahlia's Tears : In this dark time, I'll not be the one to abandon a champion of the Light.We will need something sacred for this to have a hope of saving your Bridenbrad... a remnant of a devout being that fell victim to this very same plague.Go now to the sacred soil of the passages outside my Ruby Dragonshrine where the battle is joined. As my Ruby Keepers fly down and set flame to the ground beneath undead feet, you will witness new life grow forth. Among that life are Dahlia's Tears - bring them to me."
46,"The Bears Up There : Do not fear the bears in this grove, <class> - I have pacified them for the moment.My concern at present is for the welfare of the bear cubs. The fires drove the little ones up the trees, where they've gotten stuck. We've got to get those bears safely to the ground!Flying creatures frighten them, so you'll have to climb the trees yourself. Look for footholds at the trunks. Climb the trees, grab the bear cubs, and toss them - GENTLY! - onto the target here.Nothing can go wrong with this plan."
47,The Offering to Azshara : The warlord said the horn of the ancients was being offered to Azshara above Nazj'vel.Perhaps it's not too late to save the ancient relic from being destroyed.
48,"Protect the World Tree : <Ysera's eyes look distant, as if not fully acknowledging you.>I feel it as well, <class>. Ragnaros has arrived.We must defeat his minions before he can join them and lend them his strength.Seek Malfurion Stormrage at the Tranquil Grove, west of here, and aid his forces in any way you can.I must seek answers from within the Emerald Dream.  You must protect the World Tree until I return."
49,"Traitors! : Please, stranger.  You must help me.I came here to investigate the arrival of a powerful ally to the Neferset, only to be betrayed by my closest allies and given up to the enemy.Go to the terrace above us to the east and find the information I failed to uncover.  You'll need to hide from the Neferset.  Perhaps you can hide behind one of the large plants on the platform to conceal your presence.Do this for me and I will help your friends find their way to safety."
50,"Finding Your Way : Stormwind has a lot to offer adventurers like us, but it's far too big to explore on foot. The captain has arranged for you to receive a mount to help you get around.  She said to speak with Curly at the stables in Old Town... but I can't seem to remember the way there.  Have no worries, <name>! All we need to do is ask a guard for directions. If you ever need help finding something, the city guards will show you where to go.  Let's ask a nearby guard for directions to the stable master in Old Town!"
51,"Gurtar's Request : I have a bit of a personal request for you, <class>.It has been many moons since I have seen my love, Draaka. It will be many more before we are able to be together again. I fear that as time passes, her love for me will wane.This braid has special meaning to the two of us, as do Thorned Bloodcups, the flower of this region.I ask that you pluck the flowers and weave them into this twine, then present the gift to Draaka on my behalf."
52,"The Root of All Evil : <name>, thanks to you we have devised a way to summon forth the root of all evil for the Winterfall tribe - the corrupting demon that dominates them!Take this torch to the mouth of Grolnar's personal cave and plant it there.  Doing so will force the demon to reveal itself and investigate.  This is when you and your allies must strike it down!  Only the essence of the fallen demon will begin the lengthy healing process of the Winterfall tribe... and the salvation of Timbermaw Hold."
53,"Echeyakee : Whitemist, or 'Echeyakee' in the tauren tongue, is the king of the savannah cats. He hunts with such stealth, they say he's like a thin, white mist on the earth. He kills so fast his prey have no time for fear or pain.The tauren say he is both mercy and death.<name>, I now set you on the path to hunt Echeyakee. His lair is just northwest of here, on the north side of a small mountain, among the bones of giant Kodo.Go. Blow this horn when you reach his lair. Blow the horn, and he will come."
54,"Banner of the Stonemaul : When the dragons came and took over Brogg's old home, Stonemaul ogres fled and left everything behind, including clan's banner.Brogg knows banner was kept deep in Stonemaul ogre mound, but these days it's called Den of Flame. Brogg must have clan banner to get his revenge on dragons who killed his friends.Brogg's clan's old mound, Den of Flame, is northwest of Mudsprocket and crawling with dragonkin. Banner will be deep inside the cave. Be careful, <name>."
55,"The Ancient Brazier : What do we have here? A <race>? Come to steal our land with your honeyed tongue and promises?You do not fool me. I have lived a long time, and I know what dealing with your kind means. But the khans do not listen to their elders like they used to.Since you are here, I will put you to use. When the waters rushed in, the great water spirit, Aquarian, doused the Ancient Brazier deep inside of Splithoof Hold.Use this brand to reignite the brazier. Aquarian is sure to come. Bring me the Sacred Flame."
56,"Secondhand Diving Gear : There's plenty of wreckage strewn across the bottom of the water from here to Alcaz, and the Defias have already got divers out there looking around. With the help of some of their gear, we can get you suited up and ready to join the hunt, but you'll have to do some creative ""borrowing"" first.Search this island for a crate of diving gear and something to repair it with. When you've got them, bring them to me and I'll have your gear ready in no time!"
57,"Hero's Call: Uldum! : By order of his royal highness, King Anduin Wrynn, all able-bodied citizens of the Alliance are to report to Adarrah at Thistleshrub Valley in Tanaris.Be one of the first to enter glorious Uldum and claim its treasures in honor of the Alliance!You can reach Adarrah's caravan by traveling to the western reaches of Tanaris.For the glory and honor of the Alliance!"
58,"Walking the Dog : Hmmmphh.... it seems they'll let anyone in these days.Very well.  You doubtlessly became acquainted with Smolderos in the proving grounds.Well, I've been entrusted with the care of one of his pups.  Quite the little terror -- if he grows up to be anything like his father he shall serve our cause well.Collect meat from the basilisks around the area and feed them to him."
59,"To Be Prepared : Allies from across Azeroth have come to Stormwind to support our efforts against the Burning Legion.  Before you ship out, you should pay them a visit. Every bit of preparation helps!"
60,"Azsharite Experiment Number One : Well, I can think of one surefire way to send a giant running to the bathroom, but you're not going to like it. What we need is a ... massive ... laxative. Oh hey! Would you believe the gnomes have something of the sort? That can't be a coincidence. I wonder what they're trying to push through over there?Our intelligence reports that the laxative was delivered to Gadgetspring's tower, down on the shoreline south of the Secret Lab. Retrieve that laxative and feed it to Gormungan!"
61,"Void Incubation : Well one thing is for certain with this egg, it requires great amounts of void energy in order to thrive.   It is fortunate for us that an Old God is attacking Azeroth at this very moment, yes?  No? Oh...  In any case, there should be an abundance of void energy wherever N'Zoth's minions strike. You should head out and find some."
62,"Recover the Cargo! : Well, I was able to make enough repairs to this gear to let you dive for awhile, anyway. I wouldn't count on it holding out for a long time, though.The wreckage of the ship is strewn along the bottom from the east coast of this island out toward Alcaz Island. While that helm holds out, locate pieces of the wreckage on the bottom between this island and Alcaz. Use this salvage kit to search the wreckage for pieces of the cargo. Be careful not to venture too close to Alcaz Island. Those hydra are fierce."
63,"Counterattack! : The Horde commends your successes against the Kolkar, but the Kolkar themselves are maddened.  I have reports that a contingent of Kolkar has traveled to the Barrens from their home in Desolace, to seek vengeance.  My latest report was that, even now, they move against these bunkers, from the west!Face the Kolkar invaders, and end their threat in the Barrens.  Kill them until their leader, Warlord Krom'zar, appears.  Defeat him and bring me a piece of his banner as proof.We're counting on you, <name>."
64,"Maatparm Mushroom Menagerie : Did you know mushroom hunting is far more dangerous than mushroom consumption? Mushroom hunters expose themselves to many unknowns - not including potential wildlife dangers!What would life be without a little danger? I am in need of mushrooms for my collection. Scattered throughout these unexplored wilds you will find four different types: An aquatic stinkhorn, a blood mushroom, a ruinous polyspore, and a fel cone fungus. They are each unique to various regions in Bloodmyst. Bring them to me."
65,"Dread Head Redemption : I sense that Durak is more than he seems. Demonic power is dangerous and it is easy to fall to its corruption - even for a trained warlock.   I do not trust him, <name>.  Find this Durak and tell him that the Horde will have nothing to do with him."
66,"Unfamiliar Waters : The Warchief has designs to launch an all-out assault on the Twilight Highlands. Once there we hope to ally with the Dragonmaw orcs.Through my own sources I've discovered that a Dragonmaw orc resides here, in Orgrimmar. He is known as Herezegor Flametusk, and once he commanded legions of their warriors.His insider knowledge is precious to us. Find Flametusk and obtain for us a chart of the Twilight Highlands waterways.Last I hear, Flametusk was washed up at a bar in the Valley of Honor..."
67,"Keep Your Friends Close : The Legion is bold indeed to strike at the Horde's stronghold! You aided our defense, but now I have a more important task for you.It seems the demon hunters will play a crucial part in this war... but I still don't trust them. You will be my envoy to the Illidari. Learn what they know. Study their techniques. If they betray us, we'll use their own knowledge against them.Their camp lies atop the plateau in the city. Go. Nathanos and I will clean up this mess."
68,Learn to Ride at the Exodar : This pamphlet advertising riding training and mount purchases was sent from Aalun.Aalun can be found at the entrance to the Exodar on Azuremyst Isle.
69,"A Prayer and a Wing : A winged visage? Could it be...?<name>, there's no time to waste. You may have been speaking to Aviana herself, trying to return to us.I'll need something from Aviana's past to reach out to her. High atop the ridge overlooking this shrine, you'll find a series of huge nests belonging to Blaithe, an ancient bird of prey that was once her consort. For ten thousand years he's been mad with grief.Go to one of his roosts, and use this call to summon him. Kill Blaithe and bring me one of his feathers."
70,"Twilight Skies : I just got word from Orgrimmar that the Warchief wants us to move out. We wouldn't have been ready if it wasn't for your help!The plan is for the air fleet to take off immediately, and for the navy to follow close behind. Hellscream will be accompanying the air fleet and specifically requested that you come along with us.No time to delay! Go to the Southern Rocketway Terminus here in Azshara, and check in with Friz Groundspin. I'll bring the zeppelin around to pick you up."
71,"To the Rescue! : You're coming with me, <name>.There's no one else that I can spare, and we cannot afford for Splintertree to be lost.Prepare yourself, and speak to me again when you are ready."
72,"Feegly the Exiled : Saddest story I ever heard told, <name>. Feegly was one of our fastest diggers, until he got a hold of that - thing. ""The Tear of the Moons"" we called it. It changed him. Remade him. I wish it had stayed buried.Feegly was banished from Bael Modan but I've heard reports he's come sniffing around the dig site again. He's suffered enough, the wretched thing. If you find him down there, put ol' Feegly out of his misery."
73,"Nat's Bargain : So you found a copy of Dastardly Denizens of the Deep, did you? Well, I can tell you from experience, it's all true. I've even seen a few of 'em with my own eyes.But you want to know about Tethyr.  I said I'd make you a deal, so here's what I want you to do. I'm working on a new line of baits, but I haven't tested this one yet.Just take this paste -- yeah, it smells a little foul -- smear it on yourself, and swim into the deep part of Tidefury Cove to the southwest. Let me know how it works!"
74,"True Power of the Rod : Now, take the rod and while using its power, speak with my brother, Ota Wen.Ota is amongst the other furbolg that the orcs have captured and have penned in the giant cage on the north side of Silverwind Refuge. The rod will allow you to convince Ota and the other furbolg to rise up and attack the Horde.Then you may go wherever your path leads you. Just know that you have found a new friend for that which you have done."
75,"The Trial of Fire : The Trial of Fire... oooh... sounds intimidating, doesn't it? No? Hm. Well I kind of thought so. Firsts are first, you touch the fire crystal and the portal to the trial opens.To beat this trial, you have to hop around in the fire runes without getting hit by the fire. If you stay unflamed long enough, you win!There are little signs to help you - fire hopping to its new rune, fizzles when a rune goes cold. You can figure that stuff out if you want. Or just guess! That's what most people do."
76,"The Theramore Docks : <name>, two of our spies were sent to steal documents from a ship at the Theramore docks.  They gained the papers but were discovered, and were forced to throw the documents into the sea.One spy later escaped, but was unable to recover the prize.  He reported his failure to me, and I now charge the task to you.The documents are in a footlocker, in the waters somewhere beneath the Theramore docks.  Find those documents, <name>, and bring them to me."
77,"Big Bad Beetle : It could do our hatchling some good to face off against another aqir, to learn what his kind are capable of.  I have found an opponent who could provide a challenging fight."
78,"Escape From the Lost City : Everything is ready!  Undo my chains and set your friends free.We must move quickly before the Neferset scum realize we're up to something!If we make it, see my brother, King Phaoris for a reward."
79,"Easy Money : Well, hello there!Whatever brought you, I'm so glad that you're here! My friends will never admit to it, but we could really use a hand.The ancient region of Uldum has been exposed! Treasures beyond your wildest dreams, free for the taking!We just need a bit of an escort, what with the bandits and all...You'll accompany us, won't you?You're welcome to all the loot you can haul off!"
80,"The Battle for Darkshore : The ancients of the grove have come to our aid, <name>.  I can see through their eyes even as we speak.The Twilight's Hammer has been forced to hasten their ritual and have thus only managed to resurrect but a remnant of dread Soggoth.Destroy it before it's too late, <name>.  I am needed elsewhere.Return to the druids at the Grove of the Ancients when it is all over they will direct you further."
81,"A Great Idea : Now that we've got a good pile of fresh chunks, we just tie it to this rope...and now you're ready to go catch me a silithid.What? Don't give me that look, it's perfectly safe. Well, mostly safe. Okay, you might die painfully. But it'll be easy! Just throw this meat out there, wait for a bug to pounce on it, and then drag 'em back here by the rope!Go after one of the swarmers. I haven't seen the other ones go for hyenas before, and you should find plenty of swarmers around the edge of the pit."
82,"Vorsha the Lasher : Vorsha the Lasher... the fiendish hydra that roams the seas...She has attacked our outpost, each time unprovoked, laying waste to anything that falls in her path.But I am ready, <name>. I have prepared to best the hydra and end these attacks on Zoram'gar.The naga honor the wicked nature of this beast with a brazier that remains lit on an island just off the coast. I believe that if we put it out, Vorsha will appear in anger.We will need help, so be sure to bring some strong allies."
83,
84,"Get Them While They're Young : I can teach you to ride a Winterspring frostsaber, but it takes time and dedication. For this to work, both saber and rider must be highly trained and both must share a bond of deep trust.The cubs are only receptive to this training if they're introduced to their riders at a young age. Some of the cubs in the dens surrounding Frostsaber Rock are at the proper age to begin their training. If you help me gather the most promising of those cubs, I'll allow you to begin training with your own cub."
85,"The Last Wave of Survivors : It's too late for Laird, he didn't make it in time.The last wave of night elves from Auberdine attempted to escape a couple of hours ago. They stayed in their old home, clinging to the hope that it could be salvaged, but it seems they were finally forced out. I fear many of them won't make it, like Laird did not.Quickly, go down the coast to the west and find any survivors that you can. We're sending Sentinels and Hippogryphs down, but every moment counts - we need to know which ones might make it."
86,"A Prisoner of Interest : The Twilight's Hammer wants to free Fandral Staghelm?Malfurion suspected his corruption ran deep... this just cements it.At any rate we cannot allow our enemies to get their hands on such a powerful arch druid.I've a plan, <name>.  We will move the prisoner through the Emerald Dream.  It will be risky, but with all the cultists present here it might be the only way to guarantee our success.Speak to Saynna Stormrunner inside the Barrow Dens to the northeast."
87,"The Grimtotem Plot : With the activities of the Grimtotems in Thousand Needles brought to light, many tauren now regard them with suspicion.  We've seen high-ranking Grimtotems engage in murder and kidnapping to advance their interests and I fear we may become their next target.Blackhoof Village, to the northeast, near Bluefen, is a large new Grimtotem settlement. Their leaders, the elders, will all have orders from Thunder Bluff. See if you can capture the orders and piece them together to learn the Grimtotems' plans."
88,"King of the Foulweald : My research has paid off.I believe that with a show of force, we can diminish the furbolgs' aggressiveness.Take this banner a short ways northeast and place it on their totem mound. They will try to destroy the banner, but hold your ground until their chief, Murgut, appears to save face for the tribe.  Bring me the totem he carries.Gather your allies, <name>. This is no task for a single <class>."
89,"It's a Sabotage : The Horde has wasted no time in shamelessly extracting this mysterious ore from the great wound.  Luckily for us, goblin engineering is not nearly as sophisticated as what we create in Gnomeregan! All it takes is a little bit of old fashioned dynamite to completely disable a goblin shredder.  What unsophisticated machinery!  Take these dynamite bundles and plant them on the inactive shredders around the mining camp.  It'll take those greedy goblins weeks to get back up and running again!"
90,"Traitor's Bait : The Twilight's Hammer agents still lurk within the confines of Orgrimmar. I need someone I trust to collect the final evidence of treachery.  <Eitrigg pulls you aside.>  I suspect that Sauranok the Mystic is involved. I need you to uncover the truth, <name>.  The Twilight's Hammer has placed their agents within the ranks of the workers at the airship docks to spread their lies across the land. Speak with them. If you find evidence of Sauranok's guilt then show him what happens to traitors of the Horde."
91,As Hyjal Burns : <name>!  We've heard much about you and your previous accomplishments.It is good that you've come here just as Azeroth finds itself in a time of great need.Deathwing's minions are attacking Hyjal and seek to bring the destructive Ragnaros back into our world.Aronus will take you to join Malfurion's forces in Hyjal. Lend them what help you can.
92,Good News... and Bad News : <Blackhorn used the power of Thol'embaar's remains to slip his bonds. But at least the inferno seems to be subsiding.><Matoclaw will want to know what happened here. She's waiting for you back at the Grove of Aessina.>
93,"Into the Raptor's Den : The hunt deepens, <name>. Now you must find and defeat your prey within its lair.Hunt the Sunscale raptors to the south, where they have built a warren amongst the hills just off of the road. Slay them and remove the feathers they wear. Place the feathers on the sunscale raptor nests to show their brethren you do not fear them!Be cautious, <class>. Raptors hunt in packs and will swarm you if you are not cautious."
